Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2024,Assistents_Activitats,Biblioteca Barceloneta - La Fraternitat,1213,,,01,Ciutat Vella,03,la Barceloneta,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.379201005,2.188854072
2024,Assistents_Activitats,Biblioteca Francesca Bonnemaison,1846,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.386936575,2.175789976
2024,Assistents_Activitats,Biblioteca Gòtic - Andreu Nin,686,,,01,Ciutat Vella,02,el Barri Gòtic,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.378730324,2.175978504
2024,Assistents_Activitats,Biblioteca Sant Pau - Santa Creu,2154,,,01,Ciutat Vella,01,el Raval,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.381057326,2.169793857
2024,Assistents_Activitats,Biblioteca Esquerra de l'Eixample - Agustí Centelles,2753,,,02,Eixample,09,la Nova Esquerra de l'Eixample,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.3864488,2.1527896
2024,Assistents_Activitats,Biblioteca Fort Pienc - Ana M. Moix,1035,,,02,Eixample,05,el Fort Pienc,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.395555185,2.182447586
2024,Assistents_Activitats,Biblioteca Joan Miró,667,,,02,Eixample,09,la Nova Esquerra de l'Eixample,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.378816801,2.149230361
2024,Assistents_Activitats,Biblioteca Sagrada Família - J. M. Ainaud de Lasarte,1708,,,02,Eixample,06,la Sagrada Família,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.4055771,2.176118
2024,Assistents_Activitats,Biblioteca Sant Antoni - Joan Oliver,0,,,02,Eixample,10,Sant Antoni,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.377384776,2.162778079
2024,Assistents_Activitats,Biblioteca Sofia Barat,1100,,,02,Eixample,07,la Dreta de l'Eixample,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.394674294,2.17150448
2024,Assistents_Activitats,Biblioteca Jaume Fuster,8492,,,06,Gràcia,28,Vallcarca i els Penitents,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.407459888,2.149757498
2024,Assistents_Activitats,Biblioteca Vallcarca i els Penitents - M. Antonieta Cot,1987,,,06,Gràcia,28,Vallcarca i els Penitents,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.420008234,2.139657303
2024,Assistents_Activitats,Biblioteca Vila de Gràcia - Rosa M. Arquimbau,2081,,,06,Gràcia,31,la Vila de Gràcia,Ajuntament de Barcelona,Biblioteques de Barcelona,Biblioteques de Barcelona,Lletres,41.401467067,2.158213802
